"","PL_Index","LP_Index","Pivot_Energy","PLEC_Flux_Density","LP_Flux_Density","PL_Flux_Density","Frac2_Variability","nuFnu_Band7","PLEC_Index","Flux_Band2","Flux_Band7","nuFnu_Band2","Frac_Variability","PLEC_Expfactor","Variability2_Index","Variability_Index","nuFnu_Band6","Flux_Band3","Npred","Flux_Band6","nuFnu_Band3","Flux_Band1","nuFnu_Band1","LP_beta","LP_SigCurv","Energy_Flux100","PLEC_SigCurv","Flux_Band4","nuFnu_Band4","nuFnu_Band5","Flux_Band5","Flux1000","Signif_Avg","PLEC_Exp_Index","Source_Name","ASSOC_FGL","CLASS1","ASSOC1"
"2965",2.14599800109863,2.05126976966858,637.746704101562,2.01036375047092e-11,2.08270761747897e-11,1.93964063560648e-11,1.48739767074585,1.32515548013912e-12,1.96785151958466,5.29993577913501e-08,3.23536683555226e-11,1.28963307047258e-11,0.764114737510681,0.00164306373335421,4792.74365234375,1534.8916015625,5.78736711331906e-12,1.95049505435918e-08,6470.775390625,2.5282809179572e-10,1.33433325152921e-11,5.93787419234104e-08,9.6072533609104e-12,0.0682716369628906,6.66814422607422,6.36684038823887e-11,6.67521476745605,5.09877118304303e-09,1.2028857944435e-11,9.08073009148191e-12,1.37675393308001e-09,6.70370159383538e-09,98.1265258789062,0.666666686534882,"4FGL J2236.5-1433 ","3FGL J2236.5-1432 ","bll","PKS 2233-148                "
"2967",2.34039330482483,2.26068806648254,1005.95758056641,6.25255815005221e-13,6.53058878676005e-13,5.75131793318501e-13,1.79884612560272,2.92258703132528e-13,2.08141732215881,5.9049827250135e-09,6.24626869324962e-12,1.37266109936918e-12,1.37087106704712,0.00241571175865829,330.482055664062,156.698181152344,9.78719373758532e-21,1.82258697023485e-09,811.4970703125,4.21030408145516e-19,1.20275209063159e-12,2.14426414402169e-08,3.38918129672017e-12,0.116088189184666,2.06895613670349,5.43792658472264e-12,1.83079612255096,3.62753493909906e-10,8.43249949034064e-13,5.06516161478954e-13,7.67547830848869e-11,4.3431672147598e-10,15.9922676086426,0.666666686534882,"4FGL J2237.0-3921 ","3FGL J2237.1-3921 ","fsrq","NVSS J223708-392137         "
"2968",2.30343198776245,2.09023261070251,1412.02197265625,8.08262690717848e-14,8.38458940949013e-14,6.58436453688897e-14,0,1.250449461392e-16,1.5571756362915,1.49148929318166e-10,2.63629136899065e-15,3.47943956903896e-14,0.0365044102072716,0.00561005808413029,41.1048164367676,7.35985326766968,2.68877547857831e-14,4.06769479210922e-10,208.737945556641,1.1525648057481e-12,2.69572179249083e-13,1.95834212561585e-12,3.09981977322197e-16,0.238882511854172,1.45514142513275,1.35750243511479e-12,1.56431126594543,9.01678662290628e-11,2.10349248327794e-13,1.94007936343658e-13,2.92747215357991e-11,1.11591971774239e-10,4.39816856384277,0.666666686534882,"4FGL J2239.2-5657 ","                  ","fsrq","PKS 2236-572                "
"2972",2.21815466880798,2.19110417366028,2817.24731445312,6.19414594485793e-14,6.11269661190267e-14,5.82856991295476e-14,0.640754640102386,3.02148199038746e-13,2.04005765914917,1.07700313944914e-10,6.16841864045647e-12,2.53331664185671e-14,0.4829460978508,0.000772353901993483,69.9408187866211,15.1302509307861,7.52199843211121e-13,1.62817026527762e-09,601.987915039062,3.19786939984024e-11,1.08967652609482e-12,1.71003142201975e-11,2.71588832559356e-15,0.0347802639007568,0.542570471763611,5.47793451224909e-12,0.906662046909332,3.05191649729863e-10,7.17868960890128e-13,6.70133382379284e-13,1.00129834978979e-10,4.74421002483183e-10,10.3541975021362,0.666666686534882,"4FGL J2241.2+4120 ","3FGL J2240.9+4121 ","bll","B3 2238+410                 "
"2974",2.11969232559204,2.00183248519897,1251.29309082031,1.27042701445618e-12,1.34323953869531e-12,1.17993657379467e-12,0.263738125562668,7.18943730503713e-13,1.85389494895935,7.2281167717847e-09,1.95351755605255e-11,1.82708037067825e-12,0.217458546161652,0.00192129821516573,72.6233825683594,27.5601425170898,1.1711341531967e-12,4.11572198544263e-09,1562.6572265625,5.20172759033155e-11,2.89748021582714e-12,6.35095198653346e-10,1.04787740171173e-13,0.128946349024773,4.84861087799072,1.47462059923997e-11,3.98772668838501,1.42958178628305e-09,3.40641729233704e-12,2.31139283060622e-12,3.51945750320937e-10,1.8299965987012e-09,36.3490600585938,0.666666686534882,"4FGL J2243.4-2544 ","3FGL J2243.4-2541 ","bll","PKS 2240-260                "
"2976",2.01044487953186,2.02975535392761,2933.54150390625,5.04910478390293e-14,4.84419023449e-14,5.08864631475984e-14,0.45750492811203,8.47789232479718e-13,2.02839326858521,6.90936818870114e-09,1.59445078667941e-11,1.65859502781335e-12,0,-5.53378158656415e-05,73.7263946533203,7.34665870666504,1.17333627622923e-12,9.86970727367975e-10,396.144439697266,4.88787933738966e-11,6.76783227984007e-13,1.16877298950158e-08,1.87158990562486e-12,-0.0253319460898638,0.698420405387878,4.8432828927969e-12,0.196284905076027,2.82196738199403e-10,6.77413799967524e-13,4.58400244846002e-13,6.68497063260887e-11,4.34187241715733e-10,13.7919912338257,0.666666686534882,"4FGL J2243.7-1231 ","3FGL J2243.6-1230 ","bll","RBS 1888                    "
"2978",1.85509371757507,1.71172761917114,1485.78552246094,1.75427413481172e-12,1.82841675827605e-12,1.6711222249749e-12,0.571694195270538,5.39837185370429e-12,1.61308717727661,8.38588487539482e-09,1.17210671723988e-10,2.14697769111705e-12,0.327594429254532,0.00107715255580842,327.188720703125,116.386405944824,9.43231343725204e-12,6.17321616047661e-09,2574.0263671875,3.96747523723207e-10,4.47188380076069e-12,5.90298832037206e-09,9.75577149446571e-13,0.0808422490954399,5.69733190536499,4.16745978004673e-11,6.23590612411499,2.76776646046528e-09,6.82711699673266e-12,7.58304096598605e-12,1.09443487605887e-09,4.32733004984698e-09,71.8831787109375,0.666666686534882,"4FGL J2243.9+2021 ","3FGL J2243.9+2021 ","bll","RGB J2243+203               "
"2979",2.15349555015564,2.08762121200562,1147.85595703125,5.36939373171896e-12,5.52834470909924e-12,4.94310712154111e-12,1.66488492488861,1.20532143293994e-12,1.90326237678528,4.74696904007033e-08,3.07153052991893e-11,1.16947640807497e-11,1.48848009109497,0.00200655148364604,4351.31298828125,3929.89770507812,4.91926291368294e-12,1.67782943094608e-08,5880.96484375,2.16358070348477e-10,1.15806782566286e-11,3.57770453263129e-08,5.82630861958866e-12,0.0895731896162033,7.81825685501099,5.49006812233799e-11,7.97871541976929,4.52198412048688e-09,1.06955711648427e-11,8.68083036009715e-12,1.31953425963616e-09,6.13517903147454e-09,77.2714233398438,0.666666686534882,"4FGL J2244.2+4057 ","3FGL J2244.1+4057 ","fsrq","TXS 2241+406                "
"2981",2.32864689826965,2.33709573745728,1990.80676269531,4.47885442113067e-14,4.32960348887949e-14,4.43820734287101e-14,0,1.95359242203368e-16,2.29753804206848,5.01971442190552e-09,4.15731224402346e-15,1.16819130323992e-12,0,0.000134644637000747,47.3652267456055,9.30591201782227,1.78510431805314e-13,5.85665238528321e-10,246.815979003906,7.67058812300991e-12,3.87008811499404e-13,2.11882147569363e-13,3.35051426173625e-17,-0.0163460839539766,0.190626248717308,2.05490420686349e-12,0.111244589090347,1.30514654639313e-10,3.03734576552472e-13,2.03540811050291e-13,3.08020831063516e-11,1.65696109610813e-10,4.61207580566406,0.666666686534882,"4FGL J2244.9-0007 ","                  ","bll","NVSS J224448-000616         "
"2983",1.99818956851959,1.95480871200562,3128.09106445312,5.92961958830948e-14,6.21839006068742e-14,5.83443273620247e-14,0.405455589294434,8.50006480132559e-13,1.95473337173462,2.27795649010432e-09,1.59067082422526e-11,5.47485017390881e-13,0.387348294258118,0.000147467770148069,74.7877731323242,25.1975555419922,8.44969547889735e-13,1.05809849770822e-09,406.593536376953,3.51571931289651e-11,7.26606437777971e-13,1.44079381758644e-09,2.30830816700528e-13,0.0457982495427132,0.793452024459839,6.31783427657018e-12,0.324155032634735,4.05249500623484e-10,9.73978493343242e-13,9.31415534977109e-13,1.35634545261887e-10,5.65098579041745e-10,14.8754768371582,0.666666686534882,"4FGL J2245.9+1544 ","1FGL J2246.3+1549 ","bll","87GB 224338.7+152914        "
