"","PL_Index","LP_Index","Pivot_Energy","PLEC_Flux_Density","LP_Flux_Density","PL_Flux_Density","Frac2_Variability","nuFnu_Band7","PLEC_Index","Flux_Band2","Flux_Band7","nuFnu_Band2","Frac_Variability","PLEC_Expfactor","Variability2_Index","Variability_Index","nuFnu_Band6","Flux_Band3","Npred","Flux_Band6","nuFnu_Band3","Flux_Band1","nuFnu_Band1","LP_beta","LP_SigCurv","Energy_Flux100","PLEC_SigCurv","Flux_Band4","nuFnu_Band4","nuFnu_Band5","Flux_Band5","Flux1000","Signif_Avg","PLEC_Exp_Index","Source_Name","ASSOC_FGL","CLASS1","ASSOC1"
"2397",2.64794754981995,2.5985267162323,882.000061035156,5.28123877095721e-13,5.44764266249137e-13,4.08322762537536e-13,0.606135308742523,1.08573894171473e-16,1.83429658412933,1.39799216647418e-09,2.57975848426677e-15,3.15669067491378e-13,1.11199712753296,0.0105923814699054,74.8592758178711,30.3018703460693,2.87317380739476e-17,1.26200372374541e-09,496.241058349609,1.27243205748584e-15,8.04595973180611e-13,1.55984825056521e-08,2.43604333753644e-12,0.284373432397842,2.27419376373291,3.18259069272131e-12,2.19916987419128,1.78668302375229e-10,4.03436154925926e-13,8.86874869875619e-14,1.39105758162339e-11,1.77687475844124e-10,5.42774438858032,0.666666686534882,"4FGL J1728.6-7448 ","                  ","bcu","MRC 1722-748                "
"2401",2.24224781990051,2.24380373954773,3607.71020507812,5.45462655078544e-14,5.7409202988256e-14,5.19667012058907e-14,0,6.44749770066511e-13,2.1400158405304,2.23295284484948e-08,1.32841706385056e-11,5.24006836186142e-12,0.274924129247665,0.000391457666410133,41.5074844360352,9.51666069030762,7.76278184528439e-13,4.14775280788149e-09,517.205993652344,3.30795772718329e-11,2.76821642865299e-12,5.15360809583143e-11,8.17723150883755e-15,0.0573345422744751,0.976845324039459,8.66167380875194e-12,0.684811294078827,8.18014878056772e-10,1.91963459017508e-12,7.83584243498059e-13,1.17408208155645e-10,7.40736194604352e-10,6.22837400436401,0.666666686534882,"4FGL J1731.9-2719 ","                  ","bcu","NVSS J173149-271928         "
"2403",2.16670203208923,2.15809059143066,3065.01440429688,8.34645801908382e-14,8.64756196880014e-14,8.11513196593595e-14,0,6.7572585981529e-13,2.10235142707825,1.09130982028915e-10,1.35238174825414e-11,2.57985415663816e-14,0.398035317659378,0.000270432035904378,45.8580513000488,13.6225624084473,7.47909438374161e-13,3.19673620907679e-09,598.138488769531,3.16374808295716e-11,2.15228290918745e-12,3.24935953699423e-08,5.17116688011909e-12,0.0396210476756096,0.804041504859924,8.86418716206094e-12,0.514095544815063,4.48979131650873e-10,1.06138578828685e-12,1.00878517778763e-12,1.49832535267791e-10,7.84108833418173e-10,9.16287231445312,0.666666686534882,"4FGL J1733.4-3943 ","3FGL J1733.5-3941 ","bcu","2MASS J17332704-3942172     "
"2405",2.34159898757935,2.34518218040466,1764.03051757812,1.38670907981302e-13,1.36642840055032e-13,1.40147279632102e-13,0.445589900016785,2.87508677889597e-13,2.36594986915588,4.24791712916317e-09,6.14746448190928e-12,9.87348440853464e-13,0.617218971252441,-0.000136365022626705,78.6982879638672,26.4012184143066,4.16110993318314e-13,1.48248380238414e-09,639.0830078125,1.79025440305569e-11,9.78178150458364e-13,1.00319419438222e-09,1.58555379112593e-13,-0.0149431833997369,0.316113620996475,4.93720125546715e-12,0.275458425283432,3.30876853693596e-10,7.69061030136964e-13,4.21642050701249e-13,6.39022168513748e-11,3.93930499331674e-10,10.213342666626,0.666666686534882,"4FGL J1733.6-6054 ","3FGL J1733.8-6056 ","bcu","PMN J1733-6055              "
"2406",2.64253544807434,2.51361632347107,716.173828125,1.36957274948085e-12,1.45361348825868e-12,9.94370601484218e-13,0,3.66679989009837e-19,1.45826661586761,6.88102108625799e-09,8.69730038800204e-18,1.55452690650537e-12,0,0.0176608599722385,53.355152130127,6.4900860786438,4.80222153072273e-16,1.90636506580688e-09,584.2587890625,2.12567475150723e-14,1.21613320542419e-12,2.31901112895949e-11,3.62240162046995e-15,0.43477201461792,2.65342807769775,4.45288771133701e-12,2.45540475845337,2.1600600474958e-10,4.87990290537477e-13,1.35999122120173e-13,2.13187158898398e-11,2.50553577885171e-10,5.46437311172485,0.666666686534882,"4FGL J1734.0+0805 ","                  ","bcu","2MASS J17340287+0805237     "
"2408",2.14559006690979,2.11599373817444,3373.3818359375,3.90971502677202e-14,3.95147070175305e-14,3.68096429259699e-14,0,4.3340157851457e-13,1.96214187145233,8.28839936861809e-17,8.60280249814771e-12,1.96341738926475e-20,0,0.00068301527062431,39.9182052612305,7.54479551315308,6.50526507661731e-13,4.57859250513337e-10,377.663848876953,2.7461423759978e-11,3.09024507372246e-13,1.73209807607932e-10,2.75883662296432e-14,0.0479574203491211,0.674468398094177,4.87901906376376e-12,0.870420157909393,3.48192558119464e-10,8.24824312583433e-13,6.61663595007828e-13,9.80339004419406e-11,4.34330404974759e-10,6.98088455200195,0.666666686534882,"4FGL J1735.4-1118 ","3FGL J1735.4-1118 ","bcu","PMN J1735-1117              "
"2409",2.28375506401062,2.31588172912598,2169.9228515625,5.35365615771458e-14,5.01969918810605e-14,5.39203454292831e-14,0,2.36762540996305e-13,2.31855964660645,8.86965700885867e-09,4.9551040354201e-12,2.07310080560519e-12,0,-0.00012882896407973,45.0844573974609,5.12978315353394,2.99504507566412e-13,1.01040542599407e-09,364.500457763672,1.28141490474132e-11,6.71126619989498e-13,1.9327870467295e-12,3.06174061298476e-16,-0.0429835766553879,0.81032532453537,2.94896615807283e-12,0.230314150452614,8.36041721963277e-11,1.9540762779581e-13,3.90717487660716e-13,5.88239387755429e-11,2.45798215114945e-10,6.89817905426025,0.666666686534882,"4FGL J1735.8-5932 ","                  ","bcu","1RXS J173553.1-593205       "
"2412",2.23174810409546,2.21913743019104,1769.87878417969,9.94734419075723e-14,9.86805038724614e-14,9.64846759887901e-14,2.92949819564819,1.94201398668811e-13,2.13739895820618,1.83760107824726e-11,3.98529993728136e-12,4.31668869282941e-15,2.5494179725647,0.000484878051793203,409.975769042969,246.729370117188,2.6616144184477e-13,1.08762043815602e-09,520.638671875,1.13304097007494e-11,7.26761207638094e-13,4.53431336921994e-09,7.19757749494815e-13,0.0145404888316989,0.218674495816231,3.24611019487941e-12,0.690599679946899,1.75049863493371e-10,4.11207797413465e-13,4.23279304401919e-13,6.33450444875727e-11,2.7919416778488e-10,10.7190084457397,0.666666686534882,"4FGL J1738.0+8717 ","3FGL J1739.0+8716 ","bcu","6C B175708+871924           "
"2413",2.40147757530212,2.48943591117859,1742.51635742188,4.79687802337498e-14,4.29182005960791e-14,4.82866141006139e-14,0,2.02977942085993e-18,2.44054341316223,3.28518767744868e-09,4.43522333050113e-17,7.59214848107537e-13,0.430763512849808,-0.000153198066982441,37.345027923584,15.1087236404419,2.68988824270178e-13,4.23364565627082e-10,276.1787109375,1.16393769622469e-11,2.77447390149149e-13,1.78644946058348e-11,2.81686439378517e-15,-0.0774996057152748,0.994859576225281,1.72785332049064e-12,0.155950650572777,8.703298498558e-11,2.01135318795252e-13,1.2312373343093e-13,1.87877872981357e-11,1.30584307256321e-10,4.54499864578247,0.666666686534882,"4FGL J1738.2+4000 ","                  ","bcu","NVSS J173807+400312         "
"2414",2.51237225532532,2.60562491416931,2740.70654296875,1.51420759611498e-13,1.49631053532849e-13,1.20870680001342e-13,0,2.25942555680606e-13,1.85852360725403,9.77245750988232e-09,5.13242833649619e-12,2.23479850076924e-12,0.302954852581024,0.004769301507622,48.4416961669922,8.99451732635498,1.99196426497669e-13,5.20201970388712e-09,798.539428710938,8.71057826562494e-12,3.366753924261e-12,2.3316069075463e-09,3.66055628734166e-13,0.208408072590828,2.45119547843933,1.50346974453486e-11,2.35374045372009,8.89800400027951e-10,2.0348256499908e-12,9.01208795089925e-13,1.39247072206139e-10,1.00578356754255e-09,6.14469957351685,0.666666686534882,"4FGL J1738.8-3418 ","                  ","bcu","NVSS J173913-341749         "
"2420",2.37344002723694,2.4453752040863,1371.7294921875,9.50539289206603e-14,8.66328222267482e-14,9.59421615504691e-14,0,1.19990578887827e-13,2.40745544433594,4.4003010124527e-09,2.59555051063121e-12,1.01964942565702e-12,0.633222818374634,-0.000162605705554597,54.5351905822754,21.5410289764404,1.54842867586096e-13,4.62240856702323e-10,336.466857910156,6.68224980557297e-12,3.03891569027048e-13,1.33163071680542e-08,2.10201929647102e-12,-0.0598046407103539,0.913877785205841,1.90317770223936e-12,0.222429320216179,9.2252060157616e-11,2.13768943952558e-13,1.89887724142725e-13,2.88832829181684e-11,1.47695550234417e-10,5.95803928375244,0.666666686534882,"4FGL J1741.2+5739 ","                  ","bcu","NVSS J174111+573812         "
"2421",2.23204064369202,2.232257604599,4135.458984375,6.89001739234522e-14,7.02866719904174e-14,6.94757971856155e-14,0,9.52313206591116e-13,2.24679470062256,1.9477772283949e-08,1.95450513412743e-11,4.57537306652878e-12,0.177845746278763,-4.85011623823084e-05,44.3013038635254,9.22602462768555,1.74237219704304e-12,5.69924063498206e-09,861.964477539062,7.41743472199019e-11,3.80817296100067e-12,7.4206474298677e-12,1.1779085804073e-15,0.0074103637598455,0.206915944814682,1.55404369928114e-11,0.163291156291962,9.69790803218018e-10,2.27806055269619e-12,1.52079889480239e-12,2.27599911140075e-10,1.33640798427592e-09,11.4196949005127,0.666666686534882,"4FGL J1741.8-2537 ","3FGL J1741.9-2539 ","bcu","NVSS J174154-253743         "
"2422",2.16192579269409,0.785902976989746,2436.12280273438,2.60353143801935e-14,2.38873353877126e-14,2.12020224104161e-14,0,1.40110599717354e-14,0.000758058449719101,7.37234231995565e-12,2.7989299788457e-13,1.74363235675779e-15,0,0.0114118270576,48.9304733276367,5.89862632751465,4.06955697378379e-18,1.99393973554507e-10,167.959091186523,1.72067053763737e-16,1.34321685176485e-13,1.20368255293601e-11,1.91595273954721e-15,0.999974548816681,1.6581197977066,1.40553627764328e-12,1.70513665676117,4.27986535100899e-11,1.01223086715948e-13,4.01939847507679e-13,5.96660013063577e-11,1.24524363043221e-10,4.26441287994385,0.666666686534882,"4FGL J1741.9+2555 ","                  ","bcu","NVSS J174147+255443         "
"2423",2.75909566879272,2.63124442100525,629.203186035156,3.01117160719788e-12,3.16272182054878e-12,2.43344537229073e-12,0,4.1517088299098e-18,1.95182323455811,1.25829586750115e-08,1.02136357745557e-16,2.81233109716839e-12,0.102570287883282,0.0122746527194977,34.1094284057617,7.42362499237061,8.46658829742157e-14,2.81242007460492e-09,750.35693359375,3.78812909859749e-12,1.77153864494572e-12,1.46481993201775e-10,2.27783693599812e-14,0.284199714660645,2.15117716789246,8.1720324951462e-12,2.10627675056458,4.20042056692438e-10,9.38807300128464e-13,5.4916700120743e-14,8.71834462262688e-12,3.85378562395289e-10,5.65987920761108,0.666666686534882,"4FGL J1742.4-1518 ","                  ","bcu","PMN J1742-1517              "
"2427",1.72112500667572,1.63110327720642,7827.20263671875,2.9437990571948e-15,3.15865595228767e-15,2.60585472233873e-15,0,4.46509989355734e-13,1.46671450138092,1.74308345535223e-09,7.44095323551575e-12,4.30619217584374e-13,0.388436019420624,0.000487060809973627,25.7983360290527,10.7687654495239,2.09353042714133e-13,9.37049188243222e-11,88.0992279052734,8.47430372402647e-12,6.65041548848951e-14,1.46711223898699e-12,2.37656004478079e-16,0.10351924598217,0.929730713367462,1.59441101814373e-12,0.872540295124054,4.85063274269226e-11,1.19832244713063e-13,3.77817650212484e-13,5.32348262693993e-11,1.20229728950427e-10,4.74064445495605,0.666666686534882,"4FGL J1744.4+1851 ","                  ","bcu","1RXS J174420.1+185215       "
